"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","6,397.4","6,449.8","6,511.5","6,335.3","3.03K","-0.81%"
"Dec 30, 2019","6,449.8","6,606.7","6,606.7","6,430.1","3.56K","-2.37%"
"Dec 29, 2019","6,606.7","6,536.7","6,729.8","6,519.4","2.11K","1.07%"
"Dec 28, 2019","6,536.6","6,485.0","6,584.8","6,473.2","1.69K","0.80%"
"Dec 27, 2019","6,485.0","6,489.9","6,507.3","6,352.0","2.84K","-0.08%"
"Dec 26, 2019","6,489.9","6,481.7","6,688.1","6,445.3","2.29K","0.12%"
"Dec 25, 2019","6,481.8","6,547.6","6,561.3","6,414.8","3.48K","-1.00%"
"Dec 24, 2019","6,547.6","6,600.1","6,707.9","6,466.7","2.64K","-0.86%"
"Dec 23, 2019","6,604.5","6,785.7","6,935.7","6,559.1","4.41K","-2.78%"
"Dec 22, 2019","6,793.2","6,455.6","6,794.0","6,438.5","2.55K","5.23%"
"Dec 21, 2019","6,455.6","6,500.5","6,500.6","6,435.4","1.02K","-0.69%"
"Dec 20, 2019","6,500.5","6,432.0","6,521.2","6,370.2","3.39K","1.08%"
"Dec 19, 2019","6,430.9","6,557.3","6,629.4","6,329.4","3.90K","-1.92%"
"Dec 18, 2019","6,556.9","5,925.7","6,700.3","5,801.0","7.24K","10.65%"
"Dec 17, 2019","5,925.6","6,182.1","6,222.0","5,890.0","5.72K","-4.15%"
"Dec 16, 2019","6,182.1","6,390.1","6,401.9","6,135.0","4.63K","-3.26%"
"Dec 15, 2019","6,390.1","6,351.3","6,478.9","6,308.6","1.98K","0.60%"
"Dec 14, 2019","6,352.2","6,524.8","6,538.0","6,305.0","1.68K","-2.65%"
"Dec 13, 2019","6,524.8","6,431.8","6,556.6","6,431.8","1.74K","1.45%"
"Dec 12, 2019","6,431.8","6,478.4","6,550.0","6,359.9","2.81K","-0.72%"
"Dec 11, 2019","6,478.4","6,515.4","6,569.8","6,448.1","2.63K","-0.57%"
"Dec 10, 2019","6,515.3","6,635.2","6,684.5","6,463.1","3.72K","-1.81%"
"Dec 09, 2019","6,635.2","6,803.7","6,917.8","6,594.5","3.86K","-2.48%"
"Dec 08, 2019","6,803.7","6,778.6","6,848.0","6,680.2","0.89K","0.37%"
"Dec 07, 2019","6,778.6","6,828.0","6,885.0","6,765.7","1.61K","-0.72%"
"Dec 06, 2019","6,828.0","6,659.5","6,867.7","6,592.4","3.42K","2.52%"
"Dec 05, 2019","6,660.0","6,493.4","6,752.1","6,456.8","3.39K","2.57%"
"Dec 04, 2019","6,493.2","6,590.1","7,000.0","6,413.2","6.37K","-1.47%"
"Dec 03, 2019","6,590.1","6,602.7","6,691.9","6,538.7","2.88K","-0.19%"
"Dec 02, 2019","6,602.7","6,724.8","6,753.5","6,501.0","3.43K","-1.86%"
"Dec 01, 2019","6,728.0","6,867.6","6,867.6","6,586.9","3.44K","-2.03%"
"Nov 30, 2019","6,867.6","7,043.3","7,098.5","6,783.2","2.01K","-2.48%"
"Nov 29, 2019","7,042.3","6,760.6","7,143.2","6,748.0","4.30K","4.17%"
"Nov 28, 2019","6,760.6","6,850.7","6,967.9","6,712.0","3.54K","-1.30%"
"Nov 27, 2019","6,849.6","6,512.9","6,979.9","6,245.3","7.00K","5.16%"
"Nov 26, 2019","6,513.4","6,483.0","6,670.3","6,390.3","3.73K","0.47%"
"Nov 25, 2019","6,483.0","6,275.0","6,714.2","5,950.0","8.78K","3.30%"
"Nov 24, 2019","6,275.7","6,659.8","6,670.0","6,232.9","2.94K","-5.77%"
"Nov 23, 2019","6,659.8","6,626.6","6,685.0","6,468.0","2.04K","0.50%"
"Nov 22, 2019","6,626.6","6,892.9","6,990.4","6,153.6","10.16K","-3.86%"
"Nov 21, 2019","6,892.9","7,297.6","7,327.2","6,712.0","5.46K","-5.57%"
"Nov 20, 2019","7,299.1","7,341.8","7,431.1","7,265.5","2.73K","-0.58%"
"Nov 19, 2019","7,341.9","7,395.0","7,412.8","7,234.6","3.27K","-0.72%"
"Nov 18, 2019","7,395.0","7,697.1","7,698.2","7,270.3","3.88K","-3.92%"
"Nov 17, 2019","7,697.1","7,687.8","7,799.9","7,600.0","1.41K","0.12%"
"Nov 16, 2019","7,687.8","7,668.3","7,733.3","7,642.9","0.89K","0.27%"
"Nov 15, 2019","7,667.0","7,833.2","7,963.8","7,611.9","4.10K","-2.13%"
"Nov 14, 2019","7,834.2","7,963.7","7,979.9","7,798.4","2.89K","-1.63%"
"Nov 13, 2019","7,963.7","8,002.3","8,025.0","7,909.0","2.21K","-0.45%"
"Nov 12, 2019","7,999.9","7,906.4","8,056.0","7,800.0","2.78K","1.18%"
"Nov 11, 2019","7,906.4","8,200.8","8,234.2","7,810.5","3.73K","-3.59%"
"Nov 10, 2019","8,200.8","8,000.2","8,269.9","7,950.5","1.91K","2.51%"
"Nov 09, 2019","8,000.2","7,961.1","8,064.3","7,910.4","1.15K","0.42%"
"Nov 08, 2019","7,966.9","8,326.6","8,362.2","7,871.1","5.26K","-4.36%"
"Nov 07, 2019","8,329.9","8,447.3","8,465.0","8,230.7","2.56K","-1.39%"
"Nov 06, 2019","8,447.3","8,405.6","8,520.0","8,376.0","2.60K","0.50%"
"Nov 05, 2019","8,405.6","8,458.6","8,524.9","8,247.6","2.94K","-0.63%"
"Nov 04, 2019","8,458.6","8,252.0","8,599.0","8,182.5","3.04K","2.50%"
"Nov 03, 2019","8,252.0","8,333.5","8,403.7","8,139.1","1.76K","-0.98%"
"Nov 02, 2019","8,333.5","8,290.7","8,400.0","8,251.0","1.35K","0.52%"
"Nov 01, 2019","8,290.7","8,212.2","8,336.0","8,123.1","2.68K","1.01%"
"Oct 31, 2019","8,208.1","8,224.5","8,450.0","8,031.1","3.70K","-0.25%"
"Oct 30, 2019","8,229.0","8,488.5","8,489.5","8,105.0","4.46K","-3.04%"
"Oct 29, 2019","8,487.0","8,305.8","8,597.1","8,197.4","3.99K","2.17%"
"Oct 28, 2019","8,306.9","8,602.3","8,948.3","8,272.5","5.18K","-3.46%"
"Oct 27, 2019","8,605.0","8,335.3","8,828.0","8,203.4","4.70K","3.24%"
"Oct 26, 2019","8,335.3","7,815.7","9,388.7","7,797.0","11.12K","6.71%"
"Oct 25, 2019","7,811.5","6,701.0","7,912.9","6,678.1","7.53K","16.57%"
"Oct 24, 2019","6,701.0","6,723.1","6,769.9","6,619.9","2.97K","-0.33%"
"Oct 23, 2019","6,723.1","7,217.1","7,241.9","6,600.1","7.33K","-6.84%"
"Oct 22, 2019","7,217.1","7,371.2","7,459.7","7,196.3","3.50K","-2.09%"
"Oct 21, 2019","7,371.2","7,378.9","7,484.0","7,311.3","2.92K","-0.10%"
"Oct 20, 2019","7,378.9","7,132.6","7,466.4","7,070.1","2.36K","3.45%"
"Oct 19, 2019","7,132.6","7,129.7","7,248.8","7,066.9","2.01K","0.04%"
"Oct 18, 2019","7,129.7","7,267.2","7,299.9","7,050.0","3.71K","-1.85%"
"Oct 17, 2019","7,264.3","7,225.8","7,314.3","7,181.0","3.57K","0.53%"
"Oct 16, 2019","7,225.8","7,400.0","7,417.2","7,161.7","3.88K","-2.35%"
"Oct 15, 2019","7,400.0","7,577.1","7,647.9","7,354.8","3.38K","-2.32%"
"Oct 14, 2019","7,576.1","7,525.0","7,624.0","7,470.2","2.35K","0.68%"
"Oct 13, 2019","7,525.0","7,532.5","7,681.9","7,415.0","1.74K","-0.10%"
"Oct 12, 2019","7,532.5","7,493.2","7,629.8","7,488.3","1.30K","0.52%"
"Oct 11, 2019","7,493.2","7,809.2","7,996.5","7,453.2","4.39K","-4.00%"
"Oct 10, 2019","7,805.2","7,813.3","7,866.5","7,677.5","3.65K","-0.10%"
"Oct 09, 2019","7,813.3","7,477.5","7,900.0","7,405.1","4.65K","4.47%"
"Oct 08, 2019","7,478.9","7,484.2","7,595.0","7,407.6","2.63K","-0.07%"
"Oct 07, 2019","7,484.2","7,164.0","7,572.6","7,085.1","5.61K","4.38%"
"Oct 06, 2019","7,170.1","7,420.0","7,448.0","7,108.0","3.10K","-3.37%"
"Oct 05, 2019","7,420.0","7,445.0","7,470.7","7,319.9","2.00K","-0.34%"
"Oct 04, 2019","7,445.0","7,515.2","7,521.3","7,325.1","2.55K","-0.93%"
"Oct 03, 2019","7,515.2","7,658.6","7,688.5","7,365.7","3.05K","-1.87%"
"Oct 02, 2019","7,658.3","7,618.5","7,664.3","7,476.5","3.06K","0.52%"
"Oct 01, 2019","7,618.5","7,619.5","7,819.6","7,530.6","4.19K","-0.01%"
"Sep 30, 2019","7,619.0","7,369.7","7,665.0","7,064.6","6.48K","3.38%"
"Sep 29, 2019","7,369.7","7,522.2","7,539.6","7,238.2","2.44K","-2.03%"
"Sep 28, 2019","7,522.2","7,498.4","7,644.4","7,355.5","2.24K","0.32%"
"Sep 27, 2019","7,498.4","7,382.2","7,580.1","7,195.6","5.45K","1.59%"
"Sep 26, 2019","7,381.3","7,715.7","7,774.0","7,083.0","7.88K","-4.34%"
"Sep 25, 2019","7,716.4","7,761.7","7,963.0","7,492.0","7.87K","-0.58%"
"Sep 24, 2019","7,761.7","8,830.0","8,917.9","7,377.6","14.72K","-12.00%"
"Sep 23, 2019","8,820.1","9,118.3","9,131.0","8,765.4","4.00K","-3.27%"
"Sep 22, 2019","9,118.3","9,062.9","9,155.1","8,952.4","1.38K","0.58%"
"Sep 21, 2019","9,065.3","9,230.9","9,233.9","9,018.7","1.58K","-1.79%"
"Sep 20, 2019","9,230.9","9,306.3","9,329.9","9,165.0","2.36K","-0.81%"
"Sep 19, 2019","9,306.0","9,222.4","9,360.0","8,750.1","5.35K","0.91%"
"Sep 18, 2019","9,222.4","9,213.4","9,269.5","9,141.3","2.54K","0.10%"
"Sep 17, 2019","9,213.4","9,328.7","9,328.7","9,204.6","2.56K","-1.24%"
"Sep 16, 2019","9,328.7","9,314.1","9,391.5","9,167.2","3.36K","0.16%"
"Sep 15, 2019","9,314.1","9,356.9","9,378.9","9,285.3","0.90K","-0.49%"
"Sep 14, 2019","9,359.7","9,351.8","9,427.4","9,252.9","1.27K","0.08%"
"Sep 13, 2019","9,351.8","9,440.4","9,445.0","9,198.0","3.00K","-0.81%"
"Sep 12, 2019","9,427.7","9,232.7","9,455.0","9,133.9","3.88K","2.12%"
"Sep 11, 2019","9,232.3","9,150.5","9,253.7","8,980.0","3.63K","0.89%"
"Sep 10, 2019","9,150.5","9,348.2","9,421.2","9,000.8","3.43K","-2.13%"
"Sep 09, 2019","9,349.3","9,456.6","9,549.9","9,143.1","3.82K","-1.13%"
"Sep 08, 2019","9,456.6","9,498.4","9,600.0","9,300.1","1.88K","-0.44%"
"Sep 07, 2019","9,498.4","9,344.7","9,578.9","9,343.9","1.64K","1.63%"
"Sep 06, 2019","9,346.4","9,590.1","9,927.6","9,267.0","5.85K","-2.54%"
"Sep 05, 2019","9,590.1","9,584.4","9,654.3","9,480.0","2.67K","0.06%"
